Source,Plx,Gmag,BPmag,RPmag
4274597606155392896,5.0001,20.641811,21.330338,19.70999
6797180062575447808,5.0001,16.401169,17.656847,15.080592
6721171476597681792,5.0001,20.813505,21.358974,20.028744
5811031485243331968,5.0001,16.116423,17.514814,14.959277
5893426962494329216,5.0001,20.507664,,
4049899490153779328,5.0001,19.246832,19.475687,17.59585
1355626922844767744,5.0001,20.312134,21.38668,18.704708
3253166804479977984,5.0001,17.001537,18.502714,15.804347
4304341358479978752,5.0001,20.78899,21.695898,19.510113
5901091447583072384,5.0001,15.929205,17.254332,14.762759
3099100074103844608,5.0001,20.701496,21.11697,19.689516
2428756829967388672,5.0001,20.731518,20.82306,20.032627
4092451861396897920,5.0001,20.035698,20.036203,18.634417
5503413523630401920,5.0001,20.773626,21.686712,20.014658
5828779149120967296,5.0001,9.882509,10.153749,9.438787
4207355185851136896,5.0001,18.916733,20.042982,17.588722
4267964256825025536,5.0001,19.631632,20.418287,18.290962
6894371526054703872,5.0001,20.55121,20.660774,19.68712
24987986584809344,5.0001,13.683226,14.448728,12.80201
3315640432400490368,5.0001,18.771734,20.604326,17.514029
2199569854575188736,5.0001,20.708221,21.550714,19.266132
4215552942676054912,5.0001,20.115463,20.989395,18.717913
5893816464472305280,5.0001,20.422855,20.672956,18.839651
5880330782575481728,5.0001,20.556688,20.99852,18.384247
5883966077276217216,5.0001,20.768892,,19.74657
5810921053042430080,5.0001,19.924568,,
6188734963694933248,5.0001,14.85362,15.830942,13.872128
5866269987348655744,5.0001,18.127277,19.375725,16.45654
4065424315146275584,5.0001,,,18.579084
5948507306740931584,5.0001,20.420944,21.196459,19.2843
1957524464342168704,5.0001,15.530499,16.621426,14.495843
4539399691615099520,5.0001,20.984955,21.639095,19.460104
4137348254038589824,5.0001,20.016136,20.227583,18.8844
1746794883258684544,5.0001,17.981934,19.692514,16.76702
4471872192855278464,5.0001,20.42714,20.471365,18.466629
1825667800166627072,5.0001,20.777681,21.462587,19.391718
1432230310268417024,5.0001,15.597586,16.845057,14.479086
2225718783699157632,5.0001,17.244215,18.940561,15.99769
4068211096035704064,5.0001,19.860964,20.511555,18.329779
3515368201347680512,5.0001,20.784487,21.355003,19.677332
4149043102059590528,5.0001,18.237158,18.240961,16.84881
2317889228542989568,5.0001,20.215961,21.23148,18.868345
4134815666425993728,5.0001,20.463085,20.943464,19.886333
4655190463825456512,5.0001,20.74223,,
2847658394940465536,5.0001,17.45765,19.15804,16.214945
6029523618422221696,5.0001,19.397432,,
3126688641911234304,5.0001,14.663193,15.57486,13.683047
2017649093057315072,5.0001,20.135757,21.1027,18.613146
2054828082311656960,5.0001,20.330976,21.478373,18.648771
5893330549085043840,5.0001,20.633991,22.908876,19.33368
3928301574255788928,5.0001,18.11325,19.710943,16.855597
2986921197685782912,5.0001,15.446876,16.70765,14.337257
4309257927809501696,5.0001,14.312532,15.214283,13.372756
4558238071007381248,5.0001,18.59392,20.52792,17.275848
6029033644276630912,5.0001,19.207495,19.482256,17.84342
1087532796484655104,5.0001,20.876425,21.366676,19.43426
4044060430556307584,5.0001,19.05794,19.258888,17.7725
4687432748908616064,5.0001,20.947721,21.503826,20.564423
4314134021399127936,5.0001,20.244831,21.194532,18.812233
158402864939214080,5.0001,16.62016,18.272427,15.394732
5852947067564023936,5.0001,20.75963,21.239767,19.120508
2599366915378484864,5.0001,14.202367,15.00133,13.329716
4157642386832684288,5.0001,20.490889,,
2686778364665777280,5.0001,20.683332,21.699474,19.44074
1557480043475683200,5.0001,19.884346,20.674892,18.208134
